EmployeeID,FundID,FundName,NAV,UnitsHeld,Date
E1018,FND267,Fund_274,20.21,56.29,2025-04-22
E1018,FND467,Fund_86,155.2,67.66,2025-04-22
E1018,FND309,Fund_8,113.91,87.94,2025-04-22
E1019,FND290,Fund_111,27.66,81.06,2025-04-22
E1019,FND339,Fund_130,199.65,58.85,2025-04-22
E1019,FND303,Fund_285,124.08,17.47,2025-04-22
E1019,FND51,Fund_80,109.86,94.57,2025-04-22
E1020,FND370,Fund_294,123.28,47.57,2025-04-22
E1020,FND288,Fund_398,194.96,98.73,2025-04-22
E1020,FND496,Fund_146,171.15,74.63,2025-04-22
E1020,FND162,Fund_425,171.01,68.14,2025-04-22
E1021,FND49,Fund_270,140.23,62.51,2025-04-22
E1021,FND417,Fund_420,121.91,73.87,2025-04-22
E1021,FND271,Fund_424,103.68,75.63,2025-04-22
E1021,FND217,Fund_287,152.53,3.31,2025-04-22
E1022,FND36,Fund_482,134.77,85.84,2025-04-22
E1022,FND349,Fund_72,164.05,29.02,2025-04-22
E1022,FND343,Fund_127,187.75,72.34,2025-04-22
E1022,FND294,Fund_332,111.92,76.91,2025-04-22
E1023,FND54,Fund_286,90.47,45.75,2025-04-22
E1023,FND413,Fund_173,183.35,69.79,2025-04-22
E1024,FND437,Fund_150,194.93,31.76,2025-04-22
E1024,FND469,Fund_13,170.54,57.69,2025-04-22
E1024,FND251,Fund_131,95.94,58.67,2025-04-22
E1025,FND427,Fund_216,88.8,27.82,2025-04-22
E1025,FND163,Fund_270,194.79,73.7,2025-04-22
E1025,FND427,Fund_252,105.53,65.32,2025-04-22
E1026,FND279,Fund_411,102.8,21.77,2025-04-22
E1026,FND410,Fund_463,143.01,20.79,2025-04-22
E1026,FND168,Fund_300,133.14,62.12,2025-04-22
E1026,FND362,Fund_67,26.8,5.36,2025-04-22
E1027,FND146,Fund_27,31.37,63.51,2025-04-22
E1027,FND465,Fund_85,197.74,3.3,2025-04-22
E1027,FND61,Fund_177,121.02,73.2,2025-04-22
E1027,FND254,Fund_248,169.42,76.72,2025-04-22
E1028,FND212,Fund_220,167.73,35.37,2025-04-22
E1028,FND349,Fund_315,194.96,25.12,2025-04-22
E1029,FND304,Fund_303,169.33,45.32,2025-04-22
E1029,FND215,Fund_235,122.07,52.55,2025-04-22
E1029,FND196,Fund_43,123.12,30.34,2025-04-22
E1029,FND264,Fund_181,49.67,22.28,2025-04-22
E1030,FND248,Fund_267,117.98,34.03,2025-04-22
E1030,FND264,Fund_153,195.18,47.77,2025-04-22
E1031,FND4,Fund_141,60.69,37.35,2025-04-22
E1031,FND69,Fund_394,59.67,65.85,2025-04-22
E1032,FND331,Fund_410,62.92,36.27,2025-04-22
E1032,FND72,Fund_146,181.86,63.23,2025-04-22
E1032,FND62,Fund_461,12.8,87.86,2025-04-22
E1032,FND19,Fund_291,190.24,71.28,2025-04-22
E1033,FND401,Fund_376,74.81,9.52,2025-04-22
E1033,FND423,Fund_304,80.23,86.29,2025-04-22
E1034,FND67,Fund_442,16.77,52.31,2025-04-22
E1034,FND123,Fund_67,64.78,68.67,2025-04-22
E1034,FND345,Fund_80,81.28,66.58,2025-04-22
E1035,FND488,Fund_319,187.99,85.98,2025-04-22
E1035,FND216,Fund_268,33.23,33.92,2025-04-22
E1036,FND128,Fund_4,107.14,26.91,2025-04-22
E1036,FND266,Fund_336,195.97,37.89,2025-04-22
E1036,FND161,Fund_425,152.73,62.85,2025-04-22
E1036,FND108,Fund_493,61.39,99.69,2025-04-22
E1037,FND333,Fund_25,72.8,85.54,2025-04-22
E1037,FND259,Fund_2,103.51,49.83,2025-04-22
E1037,FND482,Fund_328,137.1,5.81,2025-04-22
E1037,FND463,Fund_236,74.83,19.3,2025-04-22
E1038,FND365,Fund_222,94.05,62.49,2025-04-22
E1038,FND172,Fund_373,120.41,80.21,2025-04-22
E1038,FND250,Fund_282,156.18,29.66,2025-04-22
E1039,FND433,Fund_238,12.82,13.31,2025-04-22
E1039,FND94,Fund_150,141.63,3.93,2025-04-22
E1039,FND394,Fund_139,107.01,80.25,2025-04-22
E1039,FND41,Fund_40,86.59,73.86,2025-04-22
E1040,FND405,Fund_319,149.88,89.12,2025-04-22
E1040,FND245,Fund_30,85.1,18.41,2025-04-22
E1041,FND29,Fund_89,139.41,44.09,2025-04-22
E1041,FND368,Fund_76,101.84,61.76,2025-04-22
E1041,FND71,Fund_53,170.52,1.17,2025-04-22
E1042,FND35,Fund_415,176.48,32.69,2025-04-22
E1042,FND365,Fund_495,19.18,34.68,2025-04-22
E1043,FND3,Fund_282,164.11,53.22,2025-04-22
E1043,FND155,Fund_276,144.64,45.81,2025-04-22
E1043,FND252,Fund_486,32.32,77.02,2025-04-22
E1044,FND450,Fund_16,64.14,66.29,2025-04-22
E1044,FND124,Fund_245,181.35,35.39,2025-04-22
E1044,FND386,Fund_82,25.39,61.46,2025-04-22
E1044,FND436,Fund_450,114.88,72.72,2025-04-22
E1045,FND287,Fund_355,100.07,25.06,2025-04-22
E1045,FND124,Fund_221,81.73,98.65,2025-04-22
E1045,FND126,Fund_304,142.24,6.0,2025-04-22
E1046,FND462,Fund_152,159.8,4.65,2025-04-22
E1046,FND106,Fund_185,73.29,96.35,2025-04-22
E1046,FND241,Fund_380,113.83,67.67,2025-04-22
E1046,FND9,Fund_84,14.12,75.74,2025-04-22
E1047,FND465,Fund_361,121.25,83.32,2025-04-22
E1047,FND136,Fund_422,188.23,51.45,2025-04-22
E1047,FND29,Fund_206,35.44,49.57,2025-04-22
E1048,FND240,Fund_417,135.65,20.51,2025-04-22
E1048,FND7,Fund_202,196.36,64.89,2025-04-22
E1048,FND168,Fund_485,176.48,91.38,2025-04-22
E1049,FND332,Fund_223,162.23,51.25,2025-04-22
E1049,FND291,Fund_490,161.7,72.41,2025-04-22
E1050,FND476,Fund_304,11.47,25.87,2025-04-22
E1050,FND307,Fund_285,163.37,82.55,2025-04-22
E1051,FND293,Fund_138,174.59,27.78,2025-04-22
E1051,FND284,Fund_331,178.37,67.58,2025-04-22
E1051,FND228,Fund_319,43.39,21.26,2025-04-22
E1051,FND491,Fund_202,153.85,62.74,2025-04-22
E1052,FND262,Fund_132,105.51,18.98,2025-04-22
E1052,FND52,Fund_41,197.47,20.66,2025-04-22
E1052,FND431,Fund_444,112.42,14.45,2025-04-22
E1053,FND322,Fund_131,121.77,58.23,2025-04-22
E1053,FND155,Fund_209,177.49,53.55,2025-04-22
E1053,FND76,Fund_415,146.91,7.02,2025-04-22
E1054,FND50,Fund_148,62.78,74.64,2025-04-22
E1054,FND392,Fund_294,128.89,17.18,2025-04-22
E1054,FND139,Fund_485,66.64,70.31,2025-04-22
E1055,FND499,Fund_457,105.89,32.28,2025-04-22
E1055,FND350,Fund_478,129.03,63.0,2025-04-22
E1055,FND214,Fund_236,20.58,55.57,2025-04-22
E1055,FND1,Fund_27,40.41,5.86,2025-04-22
E1056,FND464,Fund_302,18.61,94.45,2025-04-22
E1056,FND460,Fund_453,48.8,13.46,2025-04-22
E1056,FND372,Fund_139,71.47,74.32,2025-04-22
E1056,FND100,Fund_149,48.1,90.24,2025-04-22
E1057,FND305,Fund_127,78.45,7.45,2025-04-22
E1057,FND122,Fund_155,124.09,74.85,2025-04-22
E1057,FND457,Fund_244,73.97,70.16,2025-04-22
E1057,FND481,Fund_235,13.66,52.6,2025-04-22
E1058,FND279,Fund_243,56.6,92.58,2025-04-22
E1058,FND181,Fund_58,136.71,13.44,2025-04-22
E1058,FND372,Fund_249,117.64,91.31,2025-04-22
E1059,FND252,Fund_407,83.13,20.61,2025-04-22
E1059,FND221,Fund_161,18.69,18.55,2025-04-22
E1059,FND312,Fund_5,28.37,52.12,2025-04-22
E1060,FND401,Fund_25,45.32,79.63,2025-04-22
E1060,FND421,Fund_391,88.83,3.11,2025-04-22
E1060,FND211,Fund_103,28.87,76.67,2025-04-22
E1060,FND268,Fund_146,125.94,20.89,2025-04-22
E1061,FND206,Fund_108,24.14,7.66,2025-04-22
E1061,FND477,Fund_68,192.6,67.0,2025-04-22
E1061,FND194,Fund_244,179.53,44.64,2025-04-22
E1061,FND390,Fund_448,83.25,22.55,2025-04-22
E1062,FND407,Fund_477,61.8,5.79,2025-04-22
E1062,FND191,Fund_393,82.69,9.51,2025-04-22
E1063,FND242,Fund_172,193.53,5.17,2025-04-22
E1063,FND2,Fund_44,87.44,65.02,2025-04-22
E1064,FND45,Fund_179,197.32,76.78,2025-04-22
E1064,FND32,Fund_357,31.64,8.81,2025-04-22
E1065,FND246,Fund_230,48.76,74.14,2025-04-22
E1065,FND453,Fund_85,22.4,13.75,2025-04-22
E1065,FND323,Fund_278,172.37,91.65,2025-04-22
E1065,FND347,Fund_4,127.9,45.9,2025-04-22
E1066,FND211,Fund_277,192.82,45.4,2025-04-22
E1066,FND226,Fund_173,192.37,35.26,2025-04-22
E1066,FND259,Fund_270,92.31,41.49,2025-04-22
E1067,FND374,Fund_52,154.82,13.34,2025-04-22
E1067,FND13,Fund_304,171.35,37.7,2025-04-22
E1067,FND155,Fund_423,10.33,25.47,2025-04-22
E1068,FND218,Fund_394,65.14,57.54,2025-04-22
E1068,FND302,Fund_79,77.63,50.29,2025-04-22
E1068,FND78,Fund_51,163.43,92.37,2025-04-22
E1068,FND338,Fund_328,169.46,74.96,2025-04-22
E1069,FND310,Fund_164,75.07,35.58,2025-04-22
E1069,FND391,Fund_345,76.45,65.63,2025-04-22
E1069,FND428,Fund_477,82.74,95.99,2025-04-22
E1070,FND335,Fund_197,103.23,63.27,2025-04-22
E1070,FND387,Fund_335,21.0,12.47,2025-04-22
E1071,FND457,Fund_41,178.11,54.51,2025-04-22
E1071,FND94,Fund_382,134.7,92.17,2025-04-22
E1071,FND432,Fund_279,13.9,8.54,2025-04-22
E1072,FND277,Fund_75,32.91,12.98,2025-04-22
E1072,FND33,Fund_204,125.96,47.8,2025-04-22
E1072,FND292,Fund_365,11.62,92.23,2025-04-22
E1073,FND476,Fund_208,21.24,50.59,2025-04-22
E1073,FND319,Fund_151,176.28,29.79,2025-04-22
E1074,FND440,Fund_155,125.43,39.96,2025-04-22
E1074,FND218,Fund_342,137.99,5.72,2025-04-22
E1074,FND271,Fund_256,162.07,68.66,2025-04-22
E1075,FND161,Fund_355,167.9,26.4,2025-04-22
E1075,FND126,Fund_78,76.43,38.61,2025-04-22
E1075,FND216,Fund_338,109.86,7.31,2025-04-22
E1075,FND137,Fund_330,182.57,89.01,2025-04-22
E1076,FND117,Fund_215,23.18,82.07,2025-04-22
E1076,FND435,Fund_489,135.12,5.99,2025-04-22
E1077,FND63,Fund_310,177.71,62.13,2025-04-22
E1077,FND353,Fund_169,173.39,54.04,2025-04-22
E1078,FND477,Fund_394,186.78,5.39,2025-04-22
E1078,FND353,Fund_93,123.42,5.41,2025-04-22
E1078,FND61,Fund_265,140.53,97.13,2025-04-22
E1078,FND159,Fund_173,167.02,58.69,2025-04-22
E1079,FND385,Fund_376,193.78,87.39,2025-04-22
E1079,FND115,Fund_395,50.86,88.66,2025-04-22
E1080,FND357,Fund_202,171.98,69.38,2025-04-22
E1080,FND11,Fund_476,82.19,25.8,2025-04-22
E1081,FND399,Fund_44,123.49,5.4,2025-04-22
E1081,FND397,Fund_448,19.3,46.16,2025-04-22
E1081,FND9,Fund_292,82.23,4.53,2025-04-22
E1081,FND285,Fund_232,86.94,98.86,2025-04-22
E1082,FND365,Fund_32,33.07,88.01,2025-04-22
E1082,FND260,Fund_404,18.54,10.6,2025-04-22
E1083,FND111,Fund_430,137.94,69.84,2025-04-22
E1083,FND165,Fund_212,83.05,51.17,2025-04-22
E1083,FND454,Fund_182,42.87,45.31,2025-04-22
E1083,FND308,Fund_140,167.31,46.31,2025-04-22
E1084,FND346,Fund_3,30.61,61.26,2025-04-22
E1084,FND169,Fund_15,88.85,36.6,2025-04-22
E1084,FND228,Fund_308,145.43,47.84,2025-04-22
E1084,FND2,Fund_430,107.52,38.79,2025-04-22
E1085,FND335,Fund_492,137.7,66.89,2025-04-22
E1085,FND433,Fund_192,39.42,57.17,2025-04-22
E1086,FND220,Fund_59,99.01,97.16,2025-04-22
E1086,FND149,Fund_327,44.06,95.51,2025-04-22
E1086,FND27,Fund_309,183.91,23.37,2025-04-22
E1087,FND46,Fund_183,81.41,97.01,2025-04-22
E1087,FND297,Fund_479,81.39,34.44,2025-04-22
E1088,FND272,Fund_386,140.74,16.39,2025-04-22
E1088,FND479,Fund_65,48.28,53.87,2025-04-22
E1088,FND373,Fund_402,43.16,92.14,2025-04-22
E1089,FND296,Fund_5,68.04,28.99,2025-04-22
E1089,FND206,Fund_249,111.4,77.05,2025-04-22
E1089,FND97,Fund_15,77.04,3.34,2025-04-22
E1089,FND141,Fund_166,108.56,96.42,2025-04-22
E1090,FND409,Fund_389,14.34,98.02,2025-04-22
E1090,FND152,Fund_482,169.52,30.89,2025-04-22
E1090,FND351,Fund_270,51.93,9.09,2025-04-22
E1091,FND467,Fund_390,96.47,41.87,2025-04-22
E1091,FND491,Fund_303,109.79,96.15,2025-04-22
E1092,FND327,Fund_253,34.1,65.68,2025-04-22
E1092,FND407,Fund_458,130.55,20.99,2025-04-22
E1093,FND90,Fund_202,47.67,8.36,2025-04-22
E1093,FND281,Fund_51,113.67,42.26,2025-04-22
E1093,FND345,Fund_96,195.61,70.44,2025-04-22
E1094,FND299,Fund_448,185.48,91.38,2025-04-22
E1094,FND185,Fund_96,85.23,46.26,2025-04-22
E1094,FND271,Fund_290,169.56,85.87,2025-04-22
E1094,FND220,Fund_368,16.5,24.87,2025-04-22
E1095,FND406,Fund_258,108.71,92.25,2025-04-22
E1095,FND443,Fund_400,142.38,3.63,2025-04-22
E1095,FND260,Fund_282,54.29,27.97,2025-04-22
E1095,FND247,Fund_275,132.68,50.22,2025-04-22
E1096,FND278,Fund_327,11.69,39.49,2025-04-22
E1096,FND205,Fund_192,58.72,20.81,2025-04-22
E1096,FND159,Fund_15,157.43,25.09,2025-04-22
E1096,FND172,Fund_283,136.63,61.59,2025-04-22
E1097,FND20,Fund_262,67.96,42.93,2025-04-22
E1097,FND109,Fund_376,132.37,51.25,2025-04-22
E1097,FND254,Fund_47,37.27,67.75,2025-04-22
E1098,FND232,Fund_72,199.73,76.78,2025-04-22
E1098,FND429,Fund_145,36.49,2.71,2025-04-22
E1098,FND483,Fund_476,188.05,4.1,2025-04-22
E1099,FND128,Fund_265,136.9,34.6,2025-04-22
E1099,FND18,Fund_361,64.4,25.55,2025-04-22
E1099,FND11,Fund_207,154.06,4.28,2025-04-22
E1099,FND261,Fund_400,176.71,68.25,2025-04-22
E1100,FND272,Fund_495,82.37,7.26,2025-04-22
E1100,FND306,Fund_372,73.34,36.27,2025-04-22
E1100,FND219,Fund_37,181.6,37.81,2025-04-22
E1100,FND65,Fund_233,132.99,46.86,2025-04-22
E1101,FND442,Fund_19,82.0,4.29,2025-04-22
E1101,FND145,Fund_455,160.97,35.25,2025-04-22
E1102,FND9,Fund_276,78.67,2.06,2025-04-22
E1102,FND82,Fund_426,82.47,67.79,2025-04-22
E1102,FND99,Fund_348,28.31,31.51,2025-04-22
E1102,FND312,Fund_479,134.52,22.55,2025-04-22
E1103,FND380,Fund_56,157.25,65.16,2025-04-22
E1103,FND78,Fund_433,84.33,65.5,2025-04-22
E1103,FND233,Fund_80,72.94,33.9,2025-04-22
E1104,FND3,Fund_53,81.91,17.86,2025-04-22
E1104,FND16,Fund_312,123.86,1.02,2025-04-22
E1104,FND46,Fund_142,74.16,65.7,2025-04-22
E1104,FND136,Fund_225,167.64,75.81,2025-04-22
E1105,FND141,Fund_419,51.32,38.98,2025-04-22
E1105,FND493,Fund_277,177.96,33.58,2025-04-22
E1105,FND458,Fund_339,16.17,59.1,2025-04-22
E1105,FND477,Fund_412,106.63,20.38,2025-04-22
E1106,FND67,Fund_374,32.59,76.09,2025-04-22
E1106,FND193,Fund_398,161.38,52.04,2025-04-22
E1107,FND81,Fund_109,141.27,89.17,2025-04-22
E1107,FND268,Fund_478,145.14,70.31,2025-04-22
E1108,FND95,Fund_39,189.75,79.89,2025-04-22
E1108,FND242,Fund_60,77.48,20.54,2025-04-22
E1108,FND165,Fund_113,77.0,29.67,2025-04-22
E1108,FND152,Fund_387,92.73,87.65,2025-04-22
E1109,FND445,Fund_230,192.13,13.89,2025-04-22
E1109,FND439,Fund_160,20.7,79.21,2025-04-22
E1109,FND12,Fund_221,136.9,55.88,2025-04-22
E1110,FND231,Fund_148,151.16,75.38,2025-04-22
E1110,FND302,Fund_169,196.08,67.14,2025-04-22
E1110,FND166,Fund_497,44.58,22.08,2025-04-22
E1110,FND495,Fund_370,45.4,18.31,2025-04-22
E1111,FND376,Fund_348,167.42,66.59,2025-04-22
E1111,FND468,Fund_185,12.54,67.31,2025-04-22
E1112,FND340,Fund_75,29.75,55.75,2025-04-22
E1112,FND265,Fund_487,160.62,88.98,2025-04-22
E1112,FND100,Fund_376,106.27,1.95,2025-04-22
E1112,FND320,Fund_376,118.66,75.25,2025-04-22
E1113,FND295,Fund_463,194.97,37.06,2025-04-22
E1113,FND41,Fund_203,135.6,29.97,2025-04-22
E1113,FND290,Fund_81,152.26,66.2,2025-04-22
E1113,FND385,Fund_352,151.92,97.46,2025-04-22
E1114,FND37,Fund_85,53.86,47.3,2025-04-22
E1114,FND65,Fund_272,21.06,75.03,2025-04-22
E1114,FND193,Fund_197,54.35,78.52,2025-04-22
E1115,FND405,Fund_387,169.48,46.83,2025-04-22
E1115,FND476,Fund_90,101.95,40.92,2025-04-22
E1115,FND287,Fund_53,16.84,40.0,2025-04-22
E1115,FND179,Fund_67,25.91,29.64,2025-04-22
E1116,FND141,Fund_192,163.62,37.89,2025-04-22
E1116,FND98,Fund_419,32.97,17.64,2025-04-22
E1117,FND119,Fund_493,102.47,38.67,2025-04-22
E1117,FND480,Fund_436,41.99,7.72,2025-04-22
E1118,FND262,Fund_85,132.48,95.39,2025-04-22
E1118,FND72,Fund_139,79.09,36.95,2025-04-22
E1118,FND397,Fund_132,199.21,66.87,2025-04-22
E1118,FND359,Fund_299,77.58,95.64,2025-04-22
E1119,FND487,Fund_246,19.1,18.94,2025-04-22
E1119,FND434,Fund_218,138.76,54.1,2025-04-22
E1120,FND49,Fund_291,173.53,77.84,2025-04-22
E1120,FND43,Fund_451,98.05,85.04,2025-04-22
E1120,FND212,Fund_115,76.93,96.21,2025-04-22
E1121,FND213,Fund_455,81.34,67.63,2025-04-22
E1121,FND76,Fund_485,84.4,58.1,2025-04-22
E1121,FND400,Fund_75,134.78,1.65,2025-04-22
E1121,FND234,Fund_218,61.64,78.88,2025-04-22
E1122,FND343,Fund_65,172.96,49.48,2025-04-22
E1122,FND58,Fund_126,15.03,18.56,2025-04-22
E1122,FND370,Fund_117,16.44,66.43,2025-04-22
E1123,FND306,Fund_37,92.47,73.49,2025-04-22
E1123,FND346,Fund_334,146.96,80.14,2025-04-22
E1123,FND191,Fund_346,10.33,50.64,2025-04-22
E1123,FND215,Fund_195,171.1,48.28,2025-04-22
E1124,FND118,Fund_309,67.35,77.85,2025-04-22
E1124,FND423,Fund_7,141.73,29.82,2025-04-22
E1124,FND105,Fund_4,120.01,71.68,2025-04-22
E1125,FND180,Fund_87,156.03,1.16,2025-04-22
E1125,FND170,Fund_291,181.48,13.06,2025-04-22
E1125,FND483,Fund_407,50.42,81.59,2025-04-22
E1125,FND440,Fund_323,74.83,60.62,2025-04-22
E1126,FND177,Fund_5,53.17,94.76,2025-04-22
E1126,FND380,Fund_417,34.68,57.28,2025-04-22
E1126,FND38,Fund_206,113.36,90.48,2025-04-22
E1126,FND469,Fund_289,88.31,19.3,2025-04-22
E1127,FND15,Fund_69,170.84,82.63,2025-04-22
E1127,FND210,Fund_438,44.24,79.24,2025-04-22
E1128,FND221,Fund_481,195.37,28.46,2025-04-22
E1128,FND398,Fund_18,196.99,29.02,2025-04-22
E1128,FND25,Fund_342,57.16,70.87,2025-04-22
E1128,FND354,Fund_381,56.04,6.81,2025-04-22
E1129,FND394,Fund_333,80.35,45.26,2025-04-22
E1129,FND150,Fund_60,178.11,91.82,2025-04-22
E1130,FND238,Fund_465,53.5,9.1,2025-04-22
E1130,FND471,Fund_403,188.17,95.84,2025-04-22
E1130,FND151,Fund_454,191.01,3.06,2025-04-22
E1130,FND477,Fund_245,119.65,8.6,2025-04-22
E1131,FND466,Fund_11,35.4,30.48,2025-04-22
E1131,FND233,Fund_10,43.11,43.66,2025-04-22
E1131,FND490,Fund_289,63.7,10.37,2025-04-22
E1131,FND389,Fund_79,39.38,4.3,2025-04-22
E1132,FND310,Fund_182,177.55,83.66,2025-04-22
E1132,FND337,Fund_422,144.93,53.3,2025-04-22
E1132,FND132,Fund_15,105.09,34.17,2025-04-22
E1132,FND100,Fund_49,25.92,23.99,2025-04-22
E1133,FND28,Fund_186,68.46,10.7,2025-04-22
E1133,FND127,Fund_187,18.13,21.41,2025-04-22
E1134,FND223,Fund_343,52.01,34.32,2025-04-22
E1134,FND374,Fund_284,171.77,29.83,2025-04-22
E1134,FND485,Fund_313,100.29,60.51,2025-04-22
E1135,FND109,Fund_281,130.8,63.78,2025-04-22
E1135,FND288,Fund_241,183.82,94.09,2025-04-22
E1135,FND190,Fund_97,58.55,55.69,2025-04-22
E1136,FND239,Fund_216,167.56,78.85,2025-04-22
E1136,FND479,Fund_203,159.27,93.4,2025-04-22
E1137,FND201,Fund_387,108.54,54.98,2025-04-22
E1137,FND120,Fund_447,162.78,46.72,2025-04-22
E1137,FND197,Fund_21,64.07,14.36,2025-04-22
E1138,FND316,Fund_145,94.81,21.89,2025-04-22
E1138,FND347,Fund_406,16.96,50.69,2025-04-22
E1139,FND87,Fund_243,169.61,49.85,2025-04-22
E1139,FND439,Fund_124,27.59,12.54,2025-04-22
E1139,FND147,Fund_13,85.58,3.19,2025-04-22
E1139,FND89,Fund_238,75.12,20.69,2025-04-22
E1140,FND5,Fund_234,18.22,44.07,2025-04-22
E1140,FND366,Fund_484,179.6,94.27,2025-04-22
E1141,FND349,Fund_360,154.67,81.15,2025-04-22
E1141,FND415,Fund_321,62.2,66.0,2025-04-22
E1141,FND322,Fund_234,101.27,61.83,2025-04-22
E1141,FND199,Fund_459,188.63,40.07,2025-04-22
E1142,FND158,Fund_245,132.59,56.71,2025-04-22
E1142,FND223,Fund_56,56.85,13.39,2025-04-22
E1143,FND465,Fund_316,78.07,63.31,2025-04-22
E1143,FND403,Fund_300,183.65,67.18,2025-04-22
E1144,FND142,Fund_32,64.26,43.73,2025-04-22
E1144,FND84,Fund_152,152.4,49.83,2025-04-22
E1144,FND33,Fund_321,58.02,30.2,2025-04-22
E1145,FND278,Fund_254,171.51,73.68,2025-04-22
E1145,FND414,Fund_481,187.49,76.66,2025-04-22
E1146,FND473,Fund_76,90.44,91.23,2025-04-22
E1146,FND388,Fund_9,191.96,13.87,2025-04-22
E1146,FND288,Fund_109,70.43,71.42,2025-04-22
E1147,FND354,Fund_361,184.42,89.95,2025-04-22
E1147,FND437,Fund_304,120.07,62.94,2025-04-22
E1147,FND277,Fund_28,92.46,64.16,2025-04-22
E1147,FND265,Fund_247,147.99,83.22,2025-04-22
E1148,FND13,Fund_152,159.9,36.31,2025-04-22
E1148,FND489,Fund_140,84.72,90.67,2025-04-22
E1149,FND30,Fund_424,60.26,27.43,2025-04-22
E1149,FND230,Fund_78,55.22,17.64,2025-04-22
E1149,FND401,Fund_477,48.56,4.71,2025-04-22
E1150,FND301,Fund_346,186.68,90.71,2025-04-22
E1150,FND411,Fund_283,44.8,30.9,2025-04-22
E1150,FND477,Fund_93,148.98,15.24,2025-04-22
E1150,FND162,Fund_298,48.46,99.16,2025-04-22
E1151,FND196,Fund_250,126.83,58.41,2025-04-22
E1151,FND305,Fund_124,65.33,56.37,2025-04-22
E1151,FND491,Fund_479,111.61,16.16,2025-04-22
E1152,FND121,Fund_299,19.54,68.36,2025-04-22
E1152,FND397,Fund_356,43.14,14.27,2025-04-22
E1152,FND103,Fund_92,143.69,23.1,2025-04-22
E1153,FND471,Fund_10,154.1,76.13,2025-04-22
E1153,FND412,Fund_248,195.37,50.14,2025-04-22
E1153,FND204,Fund_107,13.43,27.49,2025-04-22
E1154,FND440,Fund_372,38.86,39.91,2025-04-22
E1154,FND358,Fund_410,92.71,73.1,2025-04-22
E1155,FND444,Fund_458,56.27,74.46,2025-04-22
E1155,FND170,Fund_185,191.27,90.9,2025-04-22
E1155,FND295,Fund_488,133.98,81.57,2025-04-22
E1155,FND420,Fund_494,49.52,78.48,2025-04-22
E1156,FND257,Fund_344,118.52,98.78,2025-04-22
E1156,FND23,Fund_245,21.08,52.7,2025-04-22
